exp,city,n,n_total,score,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort
DD-CC-IJSr-veg,vegas,4065,4065,0.8497971615397645,0.9801919291338583,0.9795767716535433,1.0,0.9990157480314961,0.9128440596509123,0.9689960629921259,0.9830216535433071,0.9889271653543307,0.21162372369210003
DD-CC-MAEr-bos,all,12147,12147,0.6029316322457725,0.9425325209945661,0.8463691750370492,0.9653383830067511,0.9962127449366046,0.8294347760630151,0.9287008068499917,0.9021900214062243,0.5355672649431912,0.003128656035280956
DD-CC-MAEr-bos,boston,3732,3732,0.6556204239156314,0.9438488340927366,0.8970785312248727,0.9848566068078263,0.9951755561511658,0.8536912822471407,0.9356740820155454,0.9439828464218708,0.5432859823103726,0.0034845550617028354
DD-CC-MAEr-bos,pittsburgh,2438,2438,0.5378202130656055,0.9339351661879359,0.7997537956503898,0.9035699630693476,0.9963069347558474,0.8381579527881149,0.9220352892901109,0.8383258104226509,0.48748461222814937,0.002462277837176953
DD-CC-MAEr-bos,singapore,1915,1915,0.4858581177405697,0.9704806687565308,0.7163009404388715,0.9454022988505747,0.9984326018808778,0.6897661110228864,0.9608150470219435,0.8160919540229885,0.5454545454545454,0.004180083690503761
DD-CC-MAEr-bos,vegas,4065,4065,0.6480853164364644,0.9349163385826772,0.8831200787401575,0.9918799212598425,0.9968011811023623,0.8707577880069515,0.9109251968503936,0.9436515748031495,0.5524114173228346,0.00270681507048035
DD-CC-MAEr-pit,boston,3732,3732,0.5240298718151926,0.8669257571696596,0.7866523720182257,0.938354328598231,0.9916912355936747,0.8919529691649064,0.8579469311176628,0.9279013669257571,0.516751541141785,0.0034845550617028354
DD-CC-MAEr-pit,pittsburgh,2438,2438,0.5446410924031705,0.9230611407468199,0.798522773902339,0.9304472712351252,0.9938448912597456,0.8905316917147375,0.915059499384489,0.8965941731637258,0.42511284366023794,0.002462277837176953
DD-CC-MAEr-pit,singapore,1915,1915,0.4054719292361027,0.9563740856844305,0.6128526645768025,0.8803552769070011,0.9989550679205852,0.7566152098396367,0.9440961337513062,0.7941483803552769,0.4702194357366771,0.004702594151816731
DD-CC-MAEr-pit,vegas,4065,4065,0.6148845112603039,0.8929625984251969,0.859251968503937,0.9773622047244095,0.9963090551181103,0.9198227610522796,0.8646653543307086,0.9347933070866142,0.5199311023622047,0.004183259654378722
DD-CC-MAEr-sin,boston,3732,3732,0.4666679329634914,0.7756633610292147,0.8445456982042349,0.9371482176360225,0.981774323237738,0.8701601967124217,0.7547574376842671,0.8742964352720449,0.5183596890913964,0.0024123842734865785
DD-CC-MAEr-sin,pittsburgh,2438,2438,0.4250199197979362,0.8773081657775955,0.7574887156339762,0.8247845711940911,0.9897414854329094,0.8165172619865804,0.8658186294624538,0.7870332375871973,0.48502256873204763,0.002462277837176953
DD-CC-MAEr-sin,singapore,1915,1915,0.5339025129040647,0.9636886102403344,0.7648902821316615,0.9793625914315569,0.9973876698014629,0.7276909153944284,0.9597701149425287,0.8761755485893417,0.4958202716823406,0.004180083690503761
DD-CC-MAEr-sin,vegas,4065,4065,0.5274549277153964,0.7903543307086615,0.8476870078740157,0.968873031496063,0.9886811023622047,0.9113507206257884,0.7605807086614174,0.8998523622047244,0.5292814960629921,0.0031989632651131406
DD-CC-MAEr-veg,boston,3732,3732,0.6394743016151391,0.9265612436344144,0.8147949611364246,0.96555883141249,0.9919592602519431,0.8652815767769207,0.9102117394800322,0.9287054409005628,0.9772179040471723,0.13536156201230246
DD-CC-MAEr-veg,pittsburgh,2438,2438,0.525238638904584,0.9183422240459581,0.7340993024210095,0.8652031185884284,0.9963069347558474,0.8267549117365045,0.9142388182191218,0.8210915059499384,0.9634796881411571,0.1206516140216707
DD-CC-MAEr-veg,singapore,1915,1915,0.49476043545559395,0.964994775339603,0.654649947753396,0.9250261233019853,0.9973876698014629,0.6899462357631845,0.9592476489028213,0.7889237199582027,0.9864158829676071,0.2325171552842717
DD-CC-MAEr-veg,vegas,4065,4065,0.8523748902228525,0.984375,0.9783464566929134,1.0,0.9985236220472441,0.9180834119127337,0.9776082677165355,0.9891732283464567,0.9867125984251969,0.18898490673899168
DD-CC-Rn34-bos,all,12147,12147,0.5375345931090879,0.8652231187222131,0.8261979252428783,0.9423678577309402,0.9913551786596411,0.9018500545796777,0.8508974147867611,0.9034249958834185,0.4872385970689939,0.003787320463761157
DD-CC-Rn34-bos,boston,3732,3732,0.5761444206508323,0.8470919324577861,0.8826051996783705,0.9752077191101581,0.9874028410613777,0.9216876810112697,0.8362369337979094,0.9474671669793622,0.5087108013937283,0.007505195517513801
DD-CC-Rn34-bos,pittsburgh,2438,2438,0.4864114489085196,0.875666803446861,0.7968814115716044,0.8877718506360279,0.9913828477636439,0.8866909907060838,0.8649979482970865,0.8608945424702503,0.4567090685268773,0.0032830371162359375
DD-CC-Rn34-bos,singapore,1915,1915,0.42375705642726796,0.9545454545454546,0.6280041797283177,0.8795715778474399,0.9968652037617555,0.7900591158932466,0.9467084639498432,0.8119122257053292,0.45350052246603967,0.006270125535755641
